ID;class;handicapped-infants;water-project-cost-sharing;adoption-of-the-budget-resolution;physician-fee-freeze;el-salvador-aid;religious-groups-in-schools;anti-satellite-test-ban;aid-to-nicaraguan-contras;mx-missile;immigration;synfuels-crporation-cutback;education-spending;superfund-right-to-sue;crime;duty-free-exports;export-administration-act-south-africa
137;republican;0;1;0;1;1;1;0;0;0;1;1;1;1;0;0;1
82;democrat;1;0;1;0;0;0;1;1;unknown;1;1;1;0;1;0;1
125;democrat;0;unknown;1;0;0;0;1;1;1;0;0;0;0;0;1;1
317;democrat;0;0;0;0;0;1;0;1;1;0;1;1;1;1;1;0
56;republican;0;1;0;1;1;1;0;0;0;1;1;1;1;1;0;0
371;democrat;1;1;1;0;unknown;1;1;1;0;1;unknown;unknown;0;0;1;1
430;democrat;1;0;1;0;unknown;0;1;1;1;1;0;1;0;unknown;1;1
168;republican;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1
248;republican;0;1;0;1;1;1;unknown;0;0;0;0;unknown;1;1;0;0
411;republican;0;0;0;1;1;1;0;0;0;0;1;1;1;1;0;1
52;republican;0;1;0;1;1;1;0;unknown;0;0;0;1;1;1;0;1
150;democrat;0;0;1;0;0;0;1;1;1;1;0;0;1;0;1;1
397;democrat;1;1;1;0;1;1;0;1;0;0;1;0;1;0;1;1
203;democrat;1;0;1;0;0;1;1;1;1;1;1;0;0;0;1;1
231;republican;0;1;0;1;1;1;0;0;0;0;0;1;1;1;0;1
103;democrat;1;0;1;0;1;1;1;0;unknown;0;1;0;1;1;1;unknown
121;republican;0;unknown;unknown;1;1;1;0;0;0;1;0;1;1;1;unknown;1
305;republican;0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;unknown
10;democrat;1;1;1;0;0;0;1;1;1;0;0;0;0;0;unknown;unknown
115;democrat;1;unknown;1;0;0;0;1;1;1;0;0;0;0;0;1;unknown
364;republican;1;1;0;1;1;1;0;0;0;1;1;0;1;0;0;0
213;democrat;0;0;1;0;0;0;1;1;1;0;1;0;0;0;1;1
223;democrat;1;0;1;0;0;0;1;1;1;0;1;0;0;0;1;unknown
268;republican;1;0;0;0;0;0;1;1;1;1;0;0;0;1;0;1
189;republican;1;unknown;0;1;1;1;1;1;0;0;0;1;unknown;1;unknown;unknown
141;republican;0;0;0;1;0;0;1;1;1;1;0;0;1;1;0;1
250;democrat;1;0;1;0;0;0;1;1;unknown;0;1;0;0;0;1;1
219;democrat;1;unknown;1;0;0;0;1;1;1;0;unknown;0;0;0;1;unknown
341;republican;0;0;0;1;1;1;0;0;0;1;1;1;0;1;0;1
97;democrat;0;0;unknown;0;1;1;0;0;0;0;1;1;1;1;0;1
315;republican;0;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1
355;democrat;0;1;1;0;0;1;1;1;1;1;0;unknown;0;0;1;1
331;republican;0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;0
227;democrat;0;0;1;0;0;1;1;1;1;0;1;0;0;1;1;1
30;democrat;1;1;1;0;0;0;1;1;1;0;1;0;0;0;1;1
241;republican;0;0;0;1;0;1;1;unknown;1;0;0;1;1;1;0;1
419;democrat;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;1
69;democrat;1;unknown;1;0;0;0;1;1;1;0;0;0;1;0;1;1
324;democrat;1;1;1;0;1;1;0;1;unknown;1;0;0;1;1;0;unknown
417;republican;1;1;0;1;1;1;0;0;0;1;0;0;1;1;0;1
429;democrat;unknown;unknown;unknown;0;0;0;1;1;1;1;0;0;1;0;1;1
54;republican;1;1;0;1;1;1;0;0;0;1;0;1;1;1;0;0
396;democrat;1;1;1;unknown;0;0;0;1;0;0;1;unknown;0;0;1;1
280;republican;0;0;0;1;1;1;0;0;0;1;0;1;1;1;0;0
38;republican;1;1;0;1;1;1;0;0;0;0;0;0;1;1;0;1
25;democrat;1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;unknown
410;republican;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0
409;democrat;1;0;1;0;0;1;1;1;1;0;0;1;unknown;1;1;1
134;republican;0;0;0;1;1;1;0;0;0;1;0;1;1;1;0;1
343;democrat;0;1;1;0;1;unknown;1;0;0;1;1;0;1;0;1;1
421;republican;1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1
257;republican;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0
253;democrat;1;1;1;0;0;1;1;1;1;0;0;0;0;0;1;1
319;democrat;0;0;1;0;0;0;1;1;1;0;0;0;0;0;1;unknown
21;democrat;1;1;1;0;0;unknown;1;1;0;0;1;0;0;0;1;1
44;democrat;1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;1
399;democrat;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;1
22;democrat;1;1;1;0;0;0;1;1;1;0;0;0;unknown;unknown;1;1
234;republican;0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;1
230;republican;0;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1
188;democrat;1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;unknown
120;republican;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0
359;democrat;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;unknown
175;democrat;1;unknown;1;0;0;0;1;1;1;0;0;0;0;0;1;unknown
127;republican;0;unknown;0;1;1;1;0;0;0;0;0;1;1;1;0;0
13;democrat;0;1;1;0;0;0;1;1;1;0;0;0;1;0;unknown;unknown
94;democrat;1;0;1;0;0;0;1;0;1;1;1;0;0;0;1;1
340;republican;1;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0
352;republican;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1
32;democrat;1;1;1;0;0;0;1;1;1;0;1;0;0;0;1;unknown
304;republican;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0
346;republican;0;0;0;1;1;1;1;0;0;1;0;1;0;1;1;1
329;democrat;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;1
382;democrat;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;unknown
424;democrat;0;1;1;0;0;1;1;1;1;0;1;0;0;1;1;1
24;democrat;1;1;1;0;0;0;1;1;1;0;0;0;0;0;1;1
64;democrat;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;1
232;republican;0;1;0;1;1;1;0;0;1;1;0;1;1;1;0;1
224;republican;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;1
363;democrat;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1
100;republican;0;0;0;1;1;1;0;0;0;1;unknown;1;1;1;0;0
